Christopher Benjamin MATSON INC,Christopher Benjamin,MATSON INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Wine MATSON INC,Joel Wine,MATSON INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Gorham ALLEGHANY CORP,Roger Gorham,ALLEGHANY CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Sennott ALLEGHANY CORP,John Sennott,ALLEGHANY CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Goulding ALLEGHENY ENERGY INC,Philip Goulding,ALLEGHENY ENERGY INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Oliver ALLEGHENY ENERGY INC,Kirk Oliver,ALLEGHENY ENERGY INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Anderson HONEYWELL INTERNATIONAL INC,David Anderson,HONEYWELL INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Szlosek HONEYWELL INTERNATIONAL INC,Thomas Szlosek,HONEYWELL INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharilyn Gasaway ALLTEL CORP,Sharilyn Gasaway,ALLTEL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Palette SKYWORKS SOLUTIONS INC,Donald Palette,SKYWORKS SOLUTIONS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Muscari ALCOA INC,Joseph Muscari,ALCOA INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles McLane ALCOA INC,Charles McLane,ALCOA INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Rielly HESS CORP,John Rielly,HESS CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Omtvedt BEAM INC,Craig Omtvedt,BEAM INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
